coordinates,Country,maps_url,type,info/comments,config type,name
41.045508 -81.5473395,United States,"https://www.google.com/maps/place/41%C2%B002'43.8%22N+81%C2%B032'50.4%22W/@41.045509,-81.5478867,259m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x87b7f95853910fa6!8m2!3d41.045508!4d-81.5473395",Flock Camera,Near Kenmore/Manchester Bypass,Config 1,
"41.041840, -81.562425",United States,"https://www.google.com/maps/place/41%C2%B002'30.6%22N+81%C2%B033'44.7%22W/@41.041841,-81.5635462,259m/data=!3m2!1e3!4b1!4m14!1m7!3m6!1s0x0:0x87b7f95853910fa6!2zNDHCsDAyJzQzLjgiTiA4McKwMzInNTAuNCJX!3b1!8m2!3d41.045508!4d-81.5473395!3m5!1s0x0:0x500d701ecbfe6c05!7e2!8m2!3d41.0418401!4d-81.5624249",Flock Camera,Outside kenmore proper,Config 1,
"41.041846, -81.562379",United States,"https://www.google.com/maps/place/41%C2%B002'30.7%22N+81%C2%B033'44.6%22W/@41.041847,-81.5629262,259m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x8853f34b8a61fed0!7e2!8m2!3d41.0418461!4d-81.5623794",Flock Camera,Outside kenmore proper,Config 1,
"41.1218190,-81.5097480",United States,"https://www.google.com/maps/place/41%C2%B007'18.6%22N+81%C2%B030'35.1%22W/@41.121823,-81.5119367,1034m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0xf4118d0bb2987624!8m2!3d41.121819!4d-81.509748",Flock Camera,Facing cars leaving Akron,Config 1,
"41.066037, -81.509740",United States,"https://www.google.com/maps/place/41%C2%B003'57.7%22N+81%C2%B030'35.1%22W/@41.066038,-81.5102872,259m/data=!3m2!1e3!4b1!4m14!1m7!3m6!1s0x883129e7293df1b7:0x10d1cf708d191d63!2sBrown+St+%26+E+Thornton+St,+Akron,+OH+44311!3b1!8m2!3d41.0659486!4d-81.5098016!3m5!1s0x0:0xbc77dd8b715f2a10!7e2!8m2!3d41.0660366!4d-81.5097399",Flock Camera,Brown and Thornton St,Config 1,
"41.061709, -81.517876",United States,"https://www.google.com/maps/place/41%C2%B003'42.2%22N+81%C2%B031'04.4%22W/@41.06171,-81.5184232,259m/data=!3m2!1e3!4b1!4m13!1m6!3m5!1s0x8830d61da63d11b1:0x51003df2b03c2a5f!2sFamily+Dollar!8m2!3d41.0612046!4d-81.5175541!3m5!1s0x0:0xe5dd2621d407ecd9!7e2!8m2!3d41.0617087!4d-81.517876",Flock Camera,at Family Dollar on South St,Config 1,
"41.061927, -81.509708",United States,"https://www.google.com/maps/place/41%C2%B003'42.9%22N+81%C2%B030'35.0%22W/@41.061928,-81.5102552,259m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x8f3492a0d0f13df9!7e2!8m2!3d41.0619267!4d-81.509708",Flock Camera,Corner of South and Brown,Config 2,
"41.066157, -81.550195",United States,"https://www.google.com/maps/place/41%C2%B003'58.2%22N+81%C2%B033'00.7%22W/@41.066158,-81.5507422,259m/data=!3m2!1e3!4b1!4m14!1m7!3m6!1s0x8830d66bf9fd9cab:0x3d7791544fc9bb5e!2sW+Thornton+St,+Akron,+OH!3b1!8m2!3d41.0656514!4d-81.5422615!3m5!1s0x0:0x8ad53af31f990f4e!7e2!8m2!3d41.0661569!4d-81.5501955",Flock Camera,Manchester/W Thornton St intersection,Config 1,
"41.046831, -81.570369",United States,"https://www.google.com/maps/place/41%C2%B002'48.6%22N+81%C2%B034'13.3%22W/@41.0468309,-81.5748483,1126m/data=!3m2!1e3!4b1!4m9!1m2!2m1!1sEast+Battles!3m5!1s0x0:0xcd43d8164665ce82!7e2!8m2!3d41.0468312!4d-81.570369",Flock Camera,East and Battle,Config 1,
"41.070686, -81.547697",United States,"https://www.google.com/maps/place/41%C2%B004'14.5%22N+81%C2%B032'51.7%22W/@41.070686,-81.5495803,563m/data=!3m2!1e3!4b1!4m9!1m2!2m1!1sEast+Battles!3m5!1s0x0:0xb05918f17d9214ff!7e2!8m2!3d41.0706861!4d-81.5476969",Flock Camera,Facing Miller South,Config 1,
